generation,best_iparams_ever,best_params,best_fitness,best_fitness_ever
"[0.4787101675465735, 1.572347641334257, -0.8633153149563455, -0.7523981209424258, 0.8716434386197909, -1.0862166945453247, -0.5431949589145058, -0.16516749538839814, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.2988271610856441]",7.053532588916834,15,7.053532588916834,"[0.4787101675465735, 1.572347641334257, -0.8633153149563455, -0.7523981209424258, 0.8716434386197909, -1.0862166945453247, -0.5431949589145058, -0.16516749538839814, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.2988271610856441]"
"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]",7.149460386100745,16,7.149460386100745,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2278289298870495, 1.252324669858377, 0.16012344905696407, 0.31755839939857067, 0.007388868100693058, 0.14056978454914093, 0.4192972313015997, 1.564823395625297, 0.2988271610856441]",7.314406071792691,17,7.314406071792691,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2278289298870495, 1.252324669858377, 0.16012344905696407, 0.31755839939857067, 0.007388868100693058, 0.14056978454914093, 0.4192972313015997, 1.564823395625297, 0.2988271610856441]"
"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2278289298870495, 1.252324669858377, 0.16012344905696407, 0.31755839939857067, 0.007388868100693058, 0.14056978454914093, 0.4192972313015997, 1.564823395625297, 0.2988271610856441]",7.314406071792691,18,7.314406071792691,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -1.637438139688268, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2278289298870495, 1.252324669858377, 0.16012344905696407, 0.31755839939857067, 0.007388868100693058, 0.14056978454914093, 0.4192972313015997, 1.564823395625297, 0.2988271610856441]"
"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]",7.528530247527602,19,7.528530247527602,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]",7.528530247527602,20,7.528530247527602,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]",7.528530247527602,21,7.497699071431285,"[0.5777297125634809, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, -0.3320301115077877, 0.1537039388345658, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.2988271610856441]"
"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.9330408003422854, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]",7.528530247527602,22,7.497699071431285,"[0.5777297125634809, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, -0.3320301115077877, 0.1537039388345658, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,23,7.724332889861765,"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,24,7.548923710186912,"[0.5777297125634809, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.826862335777505, 1.7352036205575903, 1.7374270441590105, 1.8622035305312763, -0.9683050079859697, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5702336587198422, -0.4615745829464215, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,25,7.628489431383435,"[0.5777297125634809, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.16516749538839814, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7356982596053845, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 0.16012344905696407, -0.03326104200578972, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,26,7.629246209345334,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7237236167331462, 1.7323618449410634, -0.6790253776938182, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.03326104200578972, -1.5069193898810114, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,27,7.629246209345334,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7237236167331462, 1.7323618449410634, -0.6790253776938182, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, -0.03326104200578972, -1.5069193898810114, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,28,7.592694551480619,"[0.5374599941974265, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.16516749538839814, 1.7703111440596377, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 0.8888382335906404, -0.3320301115077877, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,29,7.57694555561386,"[0.5374599941974265, 1.4886269683264208, 0.024002879057548887, -1.6206785462817241, 0.8716434386197909, -1.1012276295875885, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 0.16012344905696407, 0.1537039388345658, -1.0491367736029824, -0.3285394449607004, -1.5052314047472761, 1.2060893064450404, 0.2988271610856441]"
"[0.4787101675465735, 1.4886269683264208, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.1102794039121213, 1.6216157544534848, -0.19050691108795004, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.14006780025431254, -0.16485211757632623, -0.07248275340476695, 1.1854858740331828, 0.8888382335906404, -0.34660298843603854, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -0.6304421480787882, 1.564823395625297, 0.5849326371057528]",7.724332889861765,30,7.548901599468193,"[0.5777297125634809, 1.572347641334257, 0.01635411858973157, -1.6206785462817241, 0.8716434386197909, -1.0862166945453247, 1.6216157544534848, -0.16516749538839814, 1.7753622329821126, 1.0485611742743632, 1.8065560676398258, 1.7352036205575903, 1.7374270441590105, 0.5969403661628614, -1.0918844589876986, 0.6370587102023748, -0.16485211757632623, -0.07012562503075404, 1.2303605572851737, 1.252324669858377, 1.5461904036061918, 0.31755839939857067, 0.007388868100693058, -0.3285394449607004, -1.5702336587198422, -0.4615745829464215, -1.2962122800492142]"
